Entity,Code,Year,Continent,Date,confirmed,"Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned) Annotations",tests,new_tests_7day_smoothed Annotations
Afghanistan,AFG,,,2020-05-28,615.85714,,,
Afghanistan,AFG,,,2020-05-29,622.85714,,,
Afghanistan,AFG,,,2020-05-30,634.71429,,,
Afghanistan,AFG,,,2020-05-31,646.71429,,,
Afghanistan,AFG,,,2020-06-01,660.42857,,,
Afghanistan,AFG,,,2020-06-02,653.85714,,,
Afghanistan,AFG,,,2020-06-03,668.28571,,,
Afghanistan,AFG,,,2020-06-04,687.28571,,,
Afghanistan,AFG,,,2020-06-05,716.85714,,,
Afghanistan,AFG,,,2020-06-06,758.57143,,,
Afghanistan,AFG,,,2020-06-07,718,,,
Afghanistan,AFG,,,2020-06-08,733.85714,,,
Afghanistan,AFG,,,2020-06-09,738.14286,,,
Afghanistan,AFG,,,2020-06-10,707.14286,,,
Afghanistan,AFG,,,2020-06-11,696.57143,,,
Afghanistan,AFG,,,2020-06-12,690.85714,,,
Afghanistan,AFG,,,2020-06-13,653.85714,,,
Afghanistan,AFG,,,2020-06-14,650.14286,,,
Afghanistan,AFG,,,2020-06-15,632,,,
Afghanistan,AFG,,,2020-06-16,658.57143,,,
Afghanistan,AFG,,,2020-06-17,693,,,
Afghanistan,AFG,,,2020-06-18,675.85714,,,
Afghanistan,AFG,,,2020-06-19,663.14286,,,
Afghanistan,AFG,,,2020-06-20,618.85714,,,
Afghanistan,AFG,,,2020-06-21,617.42857,,,
Afghanistan,AFG,,,2020-06-22,581,,,
Afghanistan,AFG,,,2020-06-23,516.57143,,,
Afghanistan,AFG,,,2020-06-24,453,,,
Afghanistan,AFG,,,2020-06-25,405.85714,,,
Afghanistan,AFG,,,2020-06-26,377.57143,,,
Afghanistan,AFG,,,2020-06-27,367.57143,,,
Afghanistan,AFG,,,2020-06-28,313.14286,,,
Afghanistan,AFG,,,2020-06-29,304.85714,,,
Afghanistan,AFG,,,2020-06-30,299.28571,,,
Afghanistan,AFG,,,2020-07-01,290.85714,,,
Afghanistan,AFG,,,2020-07-02,303,,,
Afghanistan,AFG,,,2020-07-03,263.85714,,,
Afghanistan,AFG,,,2020-07-04,267.57143,,,
Afghanistan,AFG,,,2020-07-05,293.71429,,,
Afghanistan,AFG,,,2020-07-06,283.42857,,,
Afghanistan,AFG,,,2020-07-07,306.57143,,,
Afghanistan,AFG,,,2020-07-08,296.71429,,,
Afghanistan,AFG,,,2020-07-09,259.57143,,,
Afghanistan,AFG,,,2020-07-10,269.42857,,,
Afghanistan,AFG,,,2020-07-11,291.71429,,,
Afghanistan,AFG,,,2020-07-12,254.14286,,,
Afghanistan,AFG,,,2020-07-13,214.28571,,,
Afghanistan,AFG,,,2020-07-14,153,,,
Afghanistan,AFG,,,2020-07-15,163.71429,,,
Afghanistan,AFG,,,2020-07-16,191.57143,,,
Afghanistan,AFG,,,2020-07-17,166,,,
Afghanistan,AFG,,,2020-07-18,131.85714,,,
Afghanistan,AFG,,,2020-07-19,121.42857,,,
Afghanistan,AFG,,,2020-07-20,146.28571,,,
Afghanistan,AFG,,,2020-07-21,165.71429,,,
Afghanistan,AFG,,,2020-07-22,141,,,
Afghanistan,AFG,,,2020-07-23,131.57143,,,
Afghanistan,AFG,,,2020-07-24,122.57143,,,
Afghanistan,AFG,,,2020-07-25,106.71429,,,
Afghanistan,AFG,,,2020-07-26,122.28571,,,
Afghanistan,AFG,,,2020-07-27,112.57143,,,
Afghanistan,AFG,,,2020-07-28,107.57143,,,
Afghanistan,AFG,,,2020-07-29,106.28571,,,
Afghanistan,AFG,,,2020-07-30,79.42857,,,
Afghanistan,AFG,,,2020-07-31,87.71429,,,
Afghanistan,AFG,,,2020-08-01,96.28571,,,
Afghanistan,AFG,,,2020-08-02,79,,,
Afghanistan,AFG,,,2020-08-03,63.85714,,,
Afghanistan,AFG,,,2020-08-04,54.14286,,,
Afghanistan,AFG,,,2020-08-05,51.14286,,,
Afghanistan,AFG,,,2020-08-06,60.71429,,,
Afghanistan,AFG,,,2020-08-07,56.42857,,,
Afghanistan,AFG,,,2020-08-08,43.57143,,,
Afghanistan,AFG,,,2020-08-09,49.14286,,,
Afghanistan,AFG,,,2020-08-10,49.14286,,,
Afghanistan,AFG,,,2020-08-11,43.85714,,,
Afghanistan,AFG,,,2020-08-12,62.85714,,,
Afghanistan,AFG,,,2020-08-13,64.14286,,,
Afghanistan,AFG,,,2020-08-14,69.57143,,,
Afghanistan,AFG,,,2020-08-15,59.42857,,,
Afghanistan,AFG,,,2020-08-16,71,,,
Afghanistan,AFG,,,2020-08-17,77.42857,,,
Afghanistan,AFG,,,2020-08-18,77.85714,,,
Afghanistan,AFG,,,2020-08-19,47.14286,,,
Afghanistan,AFG,,,2020-08-20,59.14286,,,
Afghanistan,AFG,,,2020-08-21,61.71429,,,
Afghanistan,AFG,,,2020-08-22,66.14286,,,
Afghanistan,AFG,,,2020-08-23,64,,,
Afghanistan,AFG,,,2020-08-24,57.57143,,,
Afghanistan,AFG,,,2020-08-25,67.28571,,,
Afghanistan,AFG,,,2020-08-26,67.42857,,,
Afghanistan,AFG,,,2020-08-27,52.42857,,,
Afghanistan,AFG,,,2020-08-28,39,,,
Afghanistan,AFG,,,2020-08-29,35.14286,,,
Afghanistan,AFG,,,2020-08-30,20.57143,,,
Afghanistan,AFG,,,2020-08-31,23.28571,,,
Afghanistan,AFG,,,2020-09-01,18,,,
Afghanistan,AFG,,,2020-09-02,19.14286,,,
Afghanistan,AFG,,,2020-09-03,16.71429,,,
Afghanistan,AFG,,,2020-09-04,22.71429,,,
Afghanistan,AFG,,,2020-09-05,23.42857,,,
Afghanistan,AFG,,,2020-09-06,25.85714,,,
Afghanistan,AFG,,,2020-09-07,33.71429,,,
Afghanistan,AFG,,,2020-09-08,42.57143,,,
Afghanistan,AFG,,,2020-09-09,45,,,
Afghanistan,AFG,,,2020-09-10,43,,,
Afghanistan,AFG,,,2020-09-11,40.57143,,,
Afghanistan,AFG,,,2020-09-12,43.14286,,,
Afghanistan,AFG,,,2020-09-13,45.28571,,,
Afghanistan,AFG,,,2020-09-14,45.42857,,,
Afghanistan,AFG,,,2020-09-15,45.85714,,,
Afghanistan,AFG,,,2020-09-16,47.85714,,,
Afghanistan,AFG,,,2020-09-17,46.85714,,,
Afghanistan,AFG,,,2020-09-18,42.85714,,,
Afghanistan,AFG,,,2020-09-19,44.71429,,,
Afghanistan,AFG,,,2020-09-20,57.57143,,,
Afghanistan,AFG,,,2020-09-21,46.85714,,,
Afghanistan,AFG,,,2020-09-22,37,,,
Afghanistan,AFG,,,2020-09-23,41.42857,,,
Afghanistan,AFG,,,2020-09-24,42.57143,,,
Afghanistan,AFG,,,2020-09-25,44.85714,,,
Afghanistan,AFG,,,2020-09-26,39,,,
Afghanistan,AFG,,,2020-09-27,26.14286,,,
Afghanistan,AFG,,,2020-09-28,26.14286,,,
Afghanistan,AFG,,,2020-09-29,23.57143,,,
Afghanistan,AFG,,,2020-09-30,15.57143,,,
Afghanistan,AFG,,,2020-10-01,14,,,
Afghanistan,AFG,,,2020-10-02,14.14286,,,
Afghanistan,AFG,,,2020-10-03,14,,,
Afghanistan,AFG,,,2020-10-04,10,,,
Afghanistan,AFG,,,2020-10-05,16.28571,,,
Afghanistan,AFG,,,2020-10-06,35.28571,,,
Afghanistan,AFG,,,2020-10-07,42,,,
Afghanistan,AFG,,,2020-10-08,49.71429,,,
Afghanistan,AFG,,,2020-10-09,58.28571,,,
Afghanistan,AFG,,,2020-10-10,59,,,
Afghanistan,AFG,,,2020-10-11,58,,,
Afghanistan,AFG,,,2020-10-12,65.42857,,,
Afghanistan,AFG,,,2020-10-13,63.14286,,,
Afghanistan,AFG,,,2020-10-14,63.71429,,,
Afghanistan,AFG,,,2020-10-15,58.57143,,,
Afghanistan,AFG,,,2020-10-16,47.57143,,,
Afghanistan,AFG,,,2020-10-17,52.85714,,,
Afghanistan,AFG,,,2020-10-18,62.57143,,,
Afghanistan,AFG,,,2020-10-19,57.28571,,,
Afghanistan,AFG,,,2020-10-20,51.28571,,,
Afghanistan,AFG,,,2020-10-21,54.42857,,,
Afghanistan,AFG,,,2020-10-22,69.14286,,,
Afghanistan,AFG,,,2020-10-23,85.71429,,,
Afghanistan,AFG,,,2020-10-24,87.71429,,,
Afghanistan,AFG,,,2020-10-25,89.57143,,,
Afghanistan,AFG,,,2020-10-26,90.42857,,,
Afghanistan,AFG,,,2020-10-27,106.42857,,,
Afghanistan,AFG,,,2020-10-28,110,,,
Afghanistan,AFG,,,2020-10-29,90.71429,,,
Afghanistan,AFG,,,2020-10-30,91.71429,,,
Afghanistan,AFG,,,2020-10-31,105.42857,,,
Afghanistan,AFG,,,2020-11-01,104.71429,,,
Afghanistan,AFG,,,2020-11-02,114.28571,,,
Afghanistan,AFG,,,2020-11-03,99.42857,,,
Afghanistan,AFG,,,2020-11-04,95.57143,,,
Afghanistan,AFG,,,2020-11-05,112.85714,,,
Afghanistan,AFG,,,2020-11-06,101,,,
Afghanistan,AFG,,,2020-11-07,86.85714,,,
Afghanistan,AFG,,,2020-11-08,94,,,
Afghanistan,AFG,,,2020-11-09,86.57143,,,
Afghanistan,AFG,,,2020-11-10,105,,,
Afghanistan,AFG,,,2020-11-11,92.71429,,,
Afghanistan,AFG,,,2020-11-12,96.28571,,,
Afghanistan,AFG,,,2020-11-13,142,,,
Afghanistan,AFG,,,2020-11-14,143.14286,,,
Afghanistan,AFG,,,2020-11-15,154.42857,,,
Afghanistan,AFG,,,2020-11-16,166.28571,,,
Afghanistan,AFG,,,2020-11-17,143.57143,,,
Afghanistan,AFG,,,2020-11-18,198.28571,,,
Afghanistan,AFG,,,2020-11-19,177.42857,,,
Afghanistan,AFG,,,2020-11-20,166.28571,,,
Afghanistan,AFG,,,2020-11-21,190,,,
Afghanistan,AFG,,,2020-11-22,182.71429,,,
Afghanistan,AFG,,,2020-11-23,195.42857,,,
Afghanistan,AFG,,,2020-11-24,221.28571,,,
Afghanistan,AFG,,,2020-11-25,193,,,
Africa,,,,2020-01-02,0,,,
Africa,,,,2020-01-03,0,,,
Africa,,,,2020-01-04,0,,,
Africa,,,,2020-01-05,0,,,
Africa,,,,2020-01-06,0,,,
Africa,,,,2020-01-07,0,,,
Africa,,,,2020-01-08,0,,,
Africa,,,,2020-01-09,0,,,
Africa,,,,2020-01-10,0,,,
Africa,,,,2020-01-11,0,,,
Africa,,,,2020-01-12,0,,,
Africa,,,,2020-01-13,0,,,
Africa,,,,2020-01-14,0,,,
Africa,,,,2020-01-15,0,,,
Africa,,,,2020-01-16,0,,,
Africa,,,,2020-01-17,0,,,
Africa,,,,2020-01-18,0,,,
Africa,,,,2020-01-19,0,,,
Africa,,,,2020-01-20,0,,,
Africa,,,,2020-01-21,0,,,
Africa,,,,2020-01-22,0,,,
Africa,,,,2020-01-23,0,,,
Africa,,,,2020-01-24,0,,,
Africa,,,,2020-01-25,0,,,
Africa,,,,2020-01-26,0,,,
Africa,,,,2020-01-27,0,,,
Africa,,,,2020-01-28,0,,,
Africa,,,,2020-01-29,0,,,
Africa,,,,2020-01-30,0,,,
Africa,,,,2020-01-31,0,,,
Africa,,,,2020-02-01,0,,,
Africa,,,,2020-02-02,0,,,
Africa,,,,2020-02-03,0,,,
Africa,,,,2020-02-04,0,,,
Africa,,,,2020-02-05,0,,,
Africa,,,,2020-02-06,0,,,
Africa,,,,2020-02-07,0,,,
Africa,,,,2020-02-08,0,,,
Africa,,,,2020-02-09,0,,,
Africa,,,,2020-02-10,0,,,
Africa,,,,2020-02-11,0,,,
Africa,,,,2020-02-12,0,,,
Africa,,,,2020-02-13,0,,,
Africa,,,,2020-02-14,0,,,
Africa,,,,2020-02-15,0.14286,,,
Africa,,,,2020-02-16,0.14286,,,
Africa,,,,2020-02-17,0.14286,,,
Africa,,,,2020-02-18,0.14286,,,
Africa,,,,2020-02-19,0.14286,,,
Africa,,,,2020-02-20,0.14286,,,
Africa,,,,2020-02-21,0.14286,,,
Africa,,,,2020-02-22,0,,,
Africa,,,,2020-02-23,0,,,
Africa,,,,2020-02-24,0,,,
Africa,,,,2020-02-25,0,,,
Africa,,,,2020-02-26,0.14286,,,
Africa,,,,2020-02-27,0.14286,,,
Africa,,,,2020-02-28,0.28571,,,
Africa,,,,2020-02-29,0.28571,,,
Africa,,,,2020-03-01,0.57143,,,
Africa,,,,2020-03-02,0.71429,,,
Africa,,,,2020-03-03,1.14286,,,
Africa,,,,2020-03-04,1.28571,,,
Africa,,,,2020-03-05,2.57143,,,
Africa,,,,2020-03-06,3.71429,,,
Africa,,,,2020-03-07,5.71429,,,
Africa,,,,2020-03-08,5.57143,,,
Africa,,,,2020-03-09,11,,,
Africa,,,,2020-03-10,12.28571,,,
Africa,,,,2020-03-11,13.42857,,,
Africa,,,,2020-03-12,14,,,
Africa,,,,2020-03-13,18.57143,,,
Africa,,,,2020-03-14,22.71429,,,
Africa,,,,2020-03-15,27.85714,,,
Africa,,,,2020-03-16,34.42857,,,
Africa,,,,2020-03-17,43.85714,,,
Africa,,,,2020-03-18,55.57143,,,
Africa,,,,2020-03-19,73.57143,,,
Africa,,,,2020-03-20,83.57143,,,
Africa,,,,2020-03-21,110.42857,,,
Africa,,,,2020-03-22,133.85714,,,
Africa,,,,2020-03-23,152.14286,,,
Africa,,,,2020-03-24,190.85714,,,
Africa,,,,2020-03-25,244.14286,,,
Africa,,,,2020-03-26,293.85714,,,
Africa,,,,2020-03-27,362,,,
Africa,,,,2020-03-28,404.14286,,,
Africa,,,,2020-03-29,421.14286,,,
Africa,,,,2020-03-30,462.85714,,,
Africa,,,,2020-03-31,485.57143,,,
Africa,,,,2020-04-01,489,,,
Africa,,,,2020-04-02,508.28571,,,
Africa,,,,2020-04-03,515,,,
Africa,,,,2020-04-04,529.14286,,,
Africa,,,,2020-04-05,616.57143,,,
Africa,,,,2020-04-06,649.42857,,,
Africa,,,,2020-04-07,666.42857,,,
Africa,,,,2020-04-08,699.71429,,,
Africa,,,,2020-04-09,742.57143,,,
Africa,,,,2020-04-10,771,,,
Africa,,,,2020-04-11,777.71429,,,
Africa,,,,2020-04-12,746.57143,,,
Africa,,,,2020-04-13,763.85714,,,
Africa,,,,2020-04-14,784.14286,,,
Africa,,,,2020-04-15,822.42857,,,
Africa,,,,2020-04-16,828.14286,,,
Africa,,,,2020-04-17,864.14286,,,
Africa,,,,2020-04-18,992.14286,,,
Africa,,,,2020-04-19,1055.85714,,,
Africa,,,,2020-04-20,1111.57143,,,
Africa,,,,2020-04-21,1139.42857,,,
Africa,,,,2020-04-22,1190.85714,,,
Africa,,,,2020-04-23,1206.14286,,,
Africa,,,,2020-04-24,1270.28571,,,
Africa,,,,2020-04-25,1311.14286,,,
Africa,,,,2020-04-26,1322.71429,,,
Africa,,,,2020-04-27,1349.28571,,,
Africa,,,,2020-04-28,1413.57143,,,
Africa,,,,2020-04-29,1473.57143,,,
Africa,,,,2020-04-30,1578.42857,,,
Africa,,,,2020-05-01,1661.28571,,,
Africa,,,,2020-05-02,1668.85714,,,
Africa,,,,2020-05-03,1780,,,
Africa,,,,2020-05-04,1812.42857,,,
Africa,,,,2020-05-05,1994.28571,,,
Africa,,,,2020-05-06,2039.42857,,,
Africa,,,,2020-05-07,2134.57143,,,
Africa,,,,2020-05-08,2179.42857,,,
Africa,,,,2020-05-09,2439.85714,,,
Africa,,,,2020-05-10,2551.57143,,,
Africa,,,,2020-05-11,2708,,,
Africa,,,,2020-05-12,2769.71429,,,
Africa,,,,2020-05-13,2899.42857,,,
Africa,,,,2020-05-14,2979.42857,,,
Africa,,,,2020-05-15,3081.85714,,,
Africa,,,,2020-05-16,2942.28571,,,
Africa,,,,2020-05-17,2971.14286,,,
Africa,,,,2020-05-18,3060.71429,,,
Africa,,,,2020-05-19,3082.14286,,,
Africa,,,,2020-05-20,3123,,,
Africa,,,,2020-05-21,3207.42857,,,
Africa,,,,2020-05-22,3453.71429,,,
Africa,,,,2020-05-23,3611.42857,,,
Africa,,,,2020-05-24,3816.57143,,,
Africa,,,,2020-05-25,3870.42857,,,
Africa,,,,2020-05-26,3954.14286,,,
Africa,,,,2020-05-27,4045.14286,,,
Africa,,,,2020-05-28,4221,,,
Africa,,,,2020-05-29,4203.71429,,,
Africa,,,,2020-05-30,4491,,,
Africa,,,,2020-05-31,4781.57143,,,
Africa,,,,2020-06-01,5012.42857,,,
Africa,,,,2020-06-02,5245.85714,,,
Africa,,,,2020-06-03,5395.57143,,,
Africa,,,,2020-06-04,5377.57143,,,
Africa,,,,2020-06-05,5791.71429,,,
Africa,,,,2020-06-06,6008.57143,,,
Africa,,,,2020-06-07,6000.71429,,,
Africa,,,,2020-06-08,6086,,,
Africa,,,,2020-06-09,6297.85714,,,
Africa,,,,2020-06-10,6527.42857,,,
Africa,,,,2020-06-11,6778.28571,,,
Africa,,,,2020-06-12,6721,,,
Africa,,,,2020-06-13,6897.28571,,,
Africa,,,,2020-06-14,7170.85714,,,
Africa,,,,2020-06-15,7646.71429,,,
Africa,,,,2020-06-16,7815.28571,,,
Africa,,,,2020-06-17,7942.14286,,,
Africa,,,,2020-06-18,8231.28571,,,
Africa,,,,2020-06-19,8393,,,
Africa,,,,2020-06-20,8594,,,
Africa,,,,2020-06-21,8961.42857,,,
Africa,,,,2020-06-22,8991.71429,,,
Africa,,,,2020-06-23,9140.57143,,,
Africa,,,,2020-06-24,9379.28571,,,
Africa,,,,2020-06-25,9696.28571,,,
Africa,,,,2020-06-26,10308.28571,,,
Africa,,,,2020-06-27,10490,,,
Africa,,,,2020-06-28,10699.28571,,,
Africa,,,,2020-06-29,10951.85714,,,
Africa,,,,2020-06-30,11169,,,
Africa,,,,2020-07-01,11526.28571,,,
Africa,,,,2020-07-02,11885.42857,,,
Africa,,,,2020-07-03,12131.57143,,,
Africa,,,,2020-07-04,12633.42857,,,
Africa,,,,2020-07-05,13139,,,
Africa,,,,2020-07-06,13620.14286,,,
Africa,,,,2020-07-07,14189.42857,,,
Africa,,,,2020-07-08,14846.71429,,,
Africa,,,,2020-07-09,15033.14286,,,
Africa,,,,2020-07-10,15658.85714,,,
Africa,,,,2020-07-11,16050.57143,,,
Africa,,,,2020-07-12,16448.42857,,,
Africa,,,,2020-07-13,16784.28571,,,
Africa,,,,2020-07-14,17005.14286,,,
Africa,,,,2020-07-15,16817.57143,,,
Africa,,,,2020-07-16,17336.28571,,,
Africa,,,,2020-07-17,17480.14286,,,
Africa,,,,2020-07-18,17728.57143,,,
Africa,,,,2020-07-19,17793.57143,,,
Africa,,,,2020-07-20,18045.42857,,,
Africa,,,,2020-07-21,17938.57143,,,
Africa,,,,2020-07-22,17663.85714,,,
Africa,,,,2020-07-23,17863.85714,,,
Africa,,,,2020-07-24,17881.71429,,,
Africa,,,,2020-07-25,18075.57143,,,
Africa,,,,2020-07-26,17965.57143,,,
Africa,,,,2020-07-27,17971.28571,,,
Africa,,,,2020-07-28,17639,,,
Africa,,,,2020-07-29,17659.71429,,,
Africa,,,,2020-07-30,17452.71429,,,
Africa,,,,2020-07-31,17127.14286,,,
Africa,,,,2020-08-01,16632.28571,,,
Africa,,,,2020-08-02,16708.71429,,,
Africa,,,,2020-08-03,15736,,,
Africa,,,,2020-08-04,15478.14286,,,
Africa,,,,2020-08-05,14964.71429,,,
Africa,,,,2020-08-06,14612.71429,,,
Africa,,,,2020-08-07,14192.57143,,,
Africa,,,,2020-08-08,13640,,,
Africa,,,,2020-08-09,12918.85714,,,
Africa,,,,2020-08-10,12998.71429,,,
Africa,,,,2020-08-11,12636.14286,,,
Africa,,,,2020-08-12,12400,,,
Africa,,,,2020-08-13,11524,,,
Africa,,,,2020-08-14,10938.57143,,,
Africa,,,,2020-08-15,10848.71429,,,
Africa,,,,2020-08-16,10530.57143,,,
Africa,,,,2020-08-17,10108.28571,,,
Africa,,,,2020-08-18,10135.28571,,,
Africa,,,,2020-08-19,10128.57143,,,
Africa,,,,2020-08-20,10398.71429,,,
Africa,,,,2020-08-21,10422.85714,,,
Africa,,,,2020-08-22,10056.14286,,,
Africa,,,,2020-08-23,9823.14286,,,
Africa,,,,2020-08-24,9801.14286,,,
Africa,,,,2020-08-25,9622.28571,,,
